Series_Title,Runtime_of_Series,Certificate,Runtime_of_Episodes,Genre,IMDB_Rating,Overview,Star1,Star2,Star3,Star4,No_of_Votes
The Avengers: Earth's Mightiest Heroes,(2010–2012),PG,30 min,"Animation, Action, Family",8.3,"After 74 villains break out of prison, Marvel's most powerful superheroes team up to capture all of them, and also to defend the Earth from widespread threats.",Eric Loomis,Colleen O'Shaughnessey,Brian Bloom,Rick D. Wasserman,13115
Deadly Class,(2018–2019),18,60 min,"Action, Adventure, Comedy",7.6,"A coming-of-age story set against the backdrop of late 1980s counterculture, which follows a disillusioned teen recruited into a storied high school for assassins.",Benedict Wong,Benjamin Wadsworth,Lana Condor,María Gabriela de Faría,13111
The Chosen,(2017– ),NA,54 min,"Drama, History",9.7,A charismatic fisherman drowning in debt. A troubled woman wrestling with real demons. A young tax collector ostracized by society. A religious leader questioning his faith tradition.,Jonathan Roumie,Paras Patel,Noah James,NA,13085
The Wild Thornberrys,(1998–2004),NA,30 min,"Animation, Adventure, Comedy",6.7,"The life of an adventurous family, from the point of view of an eleven-year-old girl gifted with animal language.",Jodi Carlisle,Tim Curry,Danielle Harris,NA,13082
The Twilight Zone,(2019– ),16,60 min,"Drama, Fantasy, Horror",5.8,"An updated version of the classic anthology series featuring various tales of science fiction, mystery, and horror.",Jordan Peele,David Epstein,Kelly Ann Woods,Mark Silverman,13008
Kalifat,(2020– ),18,46 min,"Drama, Thriller",8.2,"Agent Fatima gets a tip that a terrorist act is planned in Sweden. At the same time, the teenager Sulle has opened her eyes to her student assistant who opens the doors to a new fascinating world.",Gizem Erdogan,Amed Bozan,Aliette Opheim,Albin Grenholm,13008
Mahabharat,(1988–1990),12+,45 min,"Adventure, Drama, History",8.9,"A dynastic struggle occurs for the throne of Hastinapur, the kingdom ruled by the Kuru clan, between the Kauravas and Pandavas, collateral branches of the clan, which causes the Kurukshetra War.",Harish Bhimani,Nitish Bharadwaj,Mukesh Khanna,Gajendra Chauhan,12980
Prodigal Son,(2019– ),NA,44 min,"Crime, Drama, Mystery",7.7,"Malcolm Bright, one of the best criminal psychologists around, uses his twisted genius to help the NYPD solve crimes.",Lou Diamond Phillips,Halston Sage,Aurora Perrineau,NA,12968
Everwood,(2002–2006),NA,60 min,Drama,7.4,"A widowed brain surgeon from Manhattan moves his two children to the small mountain town of Everwood, Colorado.",Gregory Smith,Emily VanCamp,Debra Mooney,NA,12958
Girl Meets World,(2014–2017),NA,23 min,"Comedy, Drama, Family",7.2,"More than a decade after Boy Meets World (1993), Cory and Topanga Matthews are married and have two children. Their daughter, Riley, faces life lessons through her family, friends, and school--where her father is her history teacher--as her parents did when they were younger.",Sabrina Carpenter,Ben Savage,Danielle Fishel,NA,12928
Gilligan's Island,(1964–1967),NA,30 min,"Comedy, Family",7.3,Seven men and women are stranded on an uncharted island following a torrential storm.,Alan Hale Jr.,Jim Backus,Natalie Schafer,NA,12917
For All Mankind,(2019– ),A,60 min,"Drama, Sci-Fi",7.7,"In an alternative version of 1969, the Soviet Union beats the United States to the Moon, and the space race continues on for decades with still grander challenges and goals.",Joel Kinnaman,Michael Dorman,Sarah Jones,Shantel VanSanten,12901
Bonding,(2018– ),18,107 min,"Comedy, Drama",7.2,A New York City grad student moonlighting as a dominatrix enlists her gay BFF from high school to be her assistant.,Zoe Levin,Brendan Scannell,Micah Stock,Theo Stockman,12879
Jessie,(2011–2015),NA,30 min,"Comedy, Family",5.9,A Texan teen moves to New York City to follow her dreams and ends up as a nanny for a high profile couple's four children.,Peyton List,Cameron Boyce,Karan Brar,NA,12850
Insecure,(2016– ),18,30 min,"Comedy, Romance",7.9,Follows the awkward experiences and racy tribulations of a modern-day African-American woman.,Issa Rae,Yvonne Orji,Jay Ellis,Natasha Rothwell,12849
Life in Pieces,(2015–2019),NA,22 min,Comedy,8,A family comedy told through the separate stories of different family members.,Betsy Brandt,Thomas Sadoski,Zoe Lister-Jones,NA,12842
The Purge,(2018–2019),18,42 min,"Action, Drama, Horror",6.5,"Set in an altered United States, several unrelated people discover how far they will go to survive a night where all crime is legal for 12 hours.",Gabriel Chavarria,Derek Luke,Hannah Emily Anderson,Max Martini,12827
Wallander,(2008–2016),NA,90 min,"Crime, Drama, Mystery",7.9,A television show centered on a soul-searching Swedish cop.,Richard McCabe,Jeany Spark,Sarah Smart,NA,12814
Doc Martin,(2004– ),16,46 min,"Comedy, Drama, Romance",8.3,"The trials and tribulations of Dr. Martin Ellingham (Martin Clunes), a socially challenged doctor who moves from London to the picturesque village of Port Wenn in Cornwall.",Martin Clunes,Caroline Catz,Ian McNeice,Joe Absolom,12782
Late Show with David Letterman,(1993–2015),NA,60 min,"Comedy, Music, Talk-Show",6.9,The Late Show with David Letterman is an hour-long weeknight comedy and talk-show broadcast by CBS from the Ed Sullivan Theater on Broadway in New York City.,Paul Shaffer,Alan Kalter,Biff Henderson,NA,12779
Frequency,(2016–2017),NA,42 min,"Drama, Fantasy, Mystery",7.5,"A police detective in 2016 discovers that she is able to communicate with her father via a ham radio, despite the fact that he died in 1996.",Riley Smith,Devin Kelley,Mekhi Phifer,NA,12752
Step by Step,(1991–1998),NA,30 min,"Comedy, Family, Romance",6.5,"Two families become one, step by step.",Suzanne Somers,Brandon Call,Staci Keanan,NA,12746
StartUp,(2016–2018),18,44 min,"Crime, Thriller",8,"A desperate banker, a Haitian-American gang lord and a Cuban-American hacker are forced to work together to unwittingly create their version of the American dream - organized crime 2.0.",Adam Brody,Edi Gathegi,Otmara Marrero,Kristen Ariza,12739
Foyle's War,(2002–2015),NA,90 min,"Crime, Drama, Mystery",8.4,"As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the aftermath of the war.",Honeysuckle Weeks,Anthony Howell,Ellie Haddington,NA,12719
Yes Minister,(1980–1984),NA,60 min,Comedy,8.6,"The Right Honorable James Hacker has landed the plum job of Cabinet Minister to the Department of Administration. At last he is in a position of power and can carry out some long-needed reforms, or so he thinks.",Nigel Hawthorne,Derek Fowlds,Diana Hoddinott,NA,12711
In the Flesh,(2013–2014),NA,56 min,"Drama, Horror",8,"Four years after the Rising, the government starts to rehabilitate the Undead for reentry into society, including teenager Kieren Walker, who returns to his small Lancashire village to face a hostile reception, as well as his own demons.",Harriet Cains,Marie Critchley,Steve Cooper,NA,12695
Secret Diary of a Call Girl,(2007–2011),NA,30 min,Drama,7.4,Based on the popular diary of the anonymous sex worker known only as Belle de Jour.,Iddo Goldberg,Cherie Lunghi,Ashley Madekwe,NA,12685
Video Game High School,(2012–2014),NA,42 min,"Action, Romance, Sci-Fi",7.6,"In a futuristic world where gaming is the top sport, a teenager attends a school which specializes in a curriculum of video games in each genre.",Ellary Porterfield,Johanna Braddy,Jimmy Wong,NA,12682
Inside No. 9,(2014– ),NA,30 min,"Comedy, Drama, Horror",8.5,"Anthology series which mixes dark humor with genres like crime, horror or drama. The show invites viewers into some very different No.9s, where the ordinary and mundane rub shoulders with the extraordinary and macabre.",Steve Pemberton,Rosie Cavaliero,Aimee-Ffion Edwards,NA,12678
Legends,(2014–2015),NA,60 min,"Action, Crime, Drama",7.5,"Follows a deep-cover operative named Martin Odum, who has an uncanny ability to transform himself into a different person for each job. But his own identity comes into question when a ...                See full summary »",Morris Chestnut,Ali Larter,Tina Majorino,NA,12658
Mistresses,(I) (2013–2016),NA,43 min,"Drama, Romance, Thriller",7.1,"Follows the scandalous lives of a group of four girlfriends, each on her own path to self-discovery as they brave the turbulent journey together.",Jes Macallan,Rochelle Aytes,Yunjin Kim,NA,12654
Unforgotten,(2015– ),NA,45 min,"Crime, Drama, Mystery",8.2,"London detectives investigate crimes from the past, unravelling secrets left buried for years.",Sanjeev Bhaskar,Lewis Reeves,Jordan Long,NA,12586
H2O: Just Add Water,(2006–2010),7,23 min,"Drama, Family, Fantasy",7.2,Three girls become mermaids after a mysterious island transforms them and gives them special powers.,Cariba Heine,Phoebe Tonkin,Angus McLaren,Burgess Abernethy,12575
The Munsters,(1964–1966),NA,30 min,"Comedy, Family, Fantasy",7.8,"A family of friendly monsters have misadventures, never quite understanding why people react to them so strangely.",Al Lewis,Yvonne De Carlo,Butch Patrick,NA,12567
Ergo Proxy,(2006),18,25 min,"Animation, Action, Adventure",8,"In a post-apocalyptic future humans live in peace with androids in a domed city. However, a strange series of murders has intruded into bored inspector Re-l Mayer's life.",Kôji Yusa,Akiko Yajima,Rachel Hirschfeld,Liam O'Brien,12557
Absentia,(2017– ),16,60 min,"Crime, Drama, Mystery",7.3,"After being declared dead in absentia, an FBI agent must reclaim her family, identity and innocence when she finds herself the prime suspect in a string of murders.",Stana Katic,Patrick Heusinger,Neil Jackson,Paul Freeman,12541
"Midnight, Texas",(2017–2018),NA,60 min,"Drama, Fantasy, Mystery",7.4,"Midnight is a safe haven for those who are different, but with the presence of outsiders, the residents band together and form a strong and unlikely family.",Dylan Bruce,Parisa Fitz-Henley,Arielle Kebbel,NA,12507
Late Night with Jimmy Fallon,(2009–2014),NA,60 min,"Comedy, Music, Talk-Show",6.8,Comedian Jimmy Fallon hosts a late-night talk show.,The Roots,Steve Higgins,Bashir Salahuddin,NA,12504
Bandish Bandits,(2020– ),16,30 min,"Drama, Romance",8.6,"Indian classical singer Radhe and pop star Tamanna. Despite their contrasting personalities, the two ""set out together on a journey of self-discovery to see if opposites, though they might attract, can also adapt and go the long haul.",Ritwik Bhowmik,Shreya Chaudhary,Naseeruddin Shah,Sheeba Chaddha,12499
The Brady Bunch,(1969–1974),NA,30 min,"Comedy, Family",6.7,The misadventures of a large family united when a widower and a widow marry.,Florence Henderson,Ann B. Davis,Maureen McCormick,NA,12470
Whitney,(2011–2013),NA,30 min,Comedy,5.7,"A girl, a guy, and their friends are twenty-somethings living in Chicago.",Chris D'Elia,Rhea Seehorn,Zoe Lister-Jones,NA,12453
Real Time with Bill Maher,(2003– ),NA,60 min,"Comedy, News, Talk-Show",7.4,Comedian and political satirist Bill Maher discusses topical events with guests from various backgrounds.,Andrew Sullivan,Michael Moore,Arianna Huffington,NA,12430
The Prisoner,(1967–1968),NA,50 min,"Drama, Mystery, Sci-Fi",8.4,"After resigning, a secret agent is abducted and taken to what looks like an idyllic village, but is really a bizarre prison. His warders demand information. He gives them nothing, but only tries to escape.",Angelo Muscat,Peter Swanwick,Peter Brace,NA,12406
Avenue 5,(2020– ),NA,15+,"Comedy, Sci-Fi",6.5,"The troubled crew of Avenue 5, a space cruise ship filled with spoiled, rich, snotty space tourists, must try and keep everyone calm after their ship gets thrown off course into space and ends up needing three years to return to Earth.",Hugh Laurie,Zach Woods,Rebecca Front,NA,12398
What I Like About You,(2002–2006),NA,30 min,Comedy,6.6,"When Holly's father is transferred to Japan, she is sent to live with her big sister Valerie in New York City, turning Valerie's life upside down.",Jennie Garth,Wesley Jonathan,Leslie Grossman,NA,12382
Three's Company,(1976–1984),NA,30 min,Comedy,7.5,The misadventures of two women and one man living in one apartment and their neighbors.,Joyce DeWitt,Suzanne Somers,Richard Kline,NA,12382
The Righteous Gemstones,(2019– ),NA,36 min,"Comedy, Drama",8,"Follows a world-famous televangelist family with a long tradition of deviance, greed, and charitable work.",Danny McBride,Adam Devine,Edi Patterson,NA,12369
Andromeda,(2000–2005),NA,43 min,"Action, Adventure, Drama",6.6,Captain Dylan Hunt and the crew of the Andromeda Ascendant set out on a mission to rebuild the Systems Commonwealth 300 years after its fall.,Lisa Ryder,Laura Bertram,Gordon Michael Woolvett,NA,12352
Crossing Lines,(2013–2015),NA,43 min,"Action, Crime, Drama",7.3,"A special crime unit investigates serialized crimes that cross over European borders, to hunt down criminals and bring them to justice.",Donald Sutherland,Lara Rossi,William Fichtner,NA,12322
The Andy Griffith Show,(1960–1968),NA,30 min,"Comedy, Family",8.3,"Widower Sheriff Andy Taylor, and his son Opie, live with Andy's Aunt Bee in Mayberry, North Carolina. With virtually no crimes to solve, most of Andy's time is spent philosophizing and calming down his cousin Deputy Barney Fife.",Ron Howard,Don Knotts,Frances Bavier,NA,12321
Sa-rang-eui bul-sa-chak,(2019–2020),16,70 min,"Comedy, Romance",8.7,The absolute top secret love story of a chaebol heiress who made an emergency landing in North Korea because of a paragliding accident and a North Korean special officer who falls in love with her and who is hiding and protecting her.,Hyun Bin,Son Ye-Jin,Seo Ji-Hye,Kim Jung-Hyun,12293
Troy: Fall of a City,(2018– ),NA,60 min,"Action, Adventure, Fantasy",3.8,"Retells the story of the 10 year siege of Troy, which occurred in the 12 or 13th century BC.",Christiaan Schoombie,Bella Dayne,Chloe Pirrie,NA,12285
Hot in Cleveland,(2010–2015),NA,30 min,Comedy,7.3,"Three 40-something best friends from Los Angeles are flying to Paris when their plane makes an emergency landing in Cleveland. Realizing that all the norms from Los Angeles don't apply anymore, they decide to celebrate a city that values real women and stay where they're still considered hot.",Jane Leeves,Wendie Malick,Betty White,NA,12252
Arthur,(1996– ),NA,30 min,"Animation, Adventure, Comedy",7.3,"Based on the books by Marc Brown, these are the adventures of Arthur, an 8-year-old aardvark, and his family and friends as they grow up and learn how to be good neighbors to one another.",Daniel Brochu,Melissa Altro,Arthur Holden,NA,12252
